Complaint_ID,Consumer_complaint_narrative,Narrative_Length,Chunks
2330851,Account was paid as agreed. Never late.,39,['Account was paid as agreed. Never late.']
2428262,"My Aunt passed away on XXXX2016 we had a joint credit card with Discover Card. For months I have been trying to cancel the card, the bill and get a check from Discover Card for the 32.00 credit balance. Despite my mnthly calls I can not get them to take corrective action",271,"['My Aunt passed away on XXXX2016 we had a joint credit card with Discover Card. For months I have been trying to cancel the card, the bill and get a check from Discover Card for the 32.00 credit balance. Despite my mnthly calls I can not get them to take corrective action']"
2424896,I have a paid collection with XXXX that was supposed to be removed from my credit report after payment.,103,['I have a paid collection with XXXX that was supposed to be removed from my credit report after payment.']
2370692,"Credit Protection Association reported a collection on my credit report without ever giving me a right to dispute. 

When they finally mailed me a notice, it contained an account number that is not listed in the original creditor s system.",239,"['Credit Protection Association reported a collection on my credit report without ever giving me a right to dispute. \n\nWhen they finally mailed me a notice, it contained an account number that is not listed in the original creditor s system.']"
2424777,RMP Services is on my credit report and this does not belong to me. It has a balance of 220.00 and it indicates Medical. I would like it removed from my credit report. Thank you,177,['RMP Services is on my credit report and this does not belong to me. It has a balance of 220.00 and it indicates Medical. I would like it removed from my credit report. Thank you']
2336042,"Hi, Do nt know if these accounts are mine. Cant reach any companies by these names in Arizona. Accounts seem very old and odd  1. XXXX XXXX XXXX Account  XXXX 2. XXXX Data  XXXX 3. XXXX Collections  XXXX Thank you",213,"['Hi, Do nt know if these accounts are mine. Cant reach any companies by these names in Arizona. Accounts seem very old and odd  1. XXXX XXXX XXXX Account  XXXX 2. XXXX Data  XXXX 3. XXXX Collections  XXXX Thank you']"
2428359,"LVNV is reporting a debt on my credit report, XXXX and XXXX, this company, LVNV, has not validated this debt as per my request and as per fdcpa, they are in violation of FCRA and subject to a XXXX fine.",202,"['LVNV is reporting a debt on my credit report, XXXX and XXXX, this company, LVNV, has not validated this debt as per my request and as per fdcpa, they are in violation of FCRA and subject to a XXXX fine.']"
2340014,"EQUIFAX HAS REINSERTED XXXX ACCOUNTS THAT WERE PREVIOULY DELETED BY CHANGING ACCOUNT DATA. ALSO SPLIT MY CREDIT FILES 6 TIMES IN 3 YEARS. 
SCORES AND INFO DOEST LINE UP WITH XXXX. 

EQUIFAX IN VIOLATING THE DODDFRANK ACT AND F.C.R.A. FOR THE last time",251,['EQUIFAX HAS REINSERTED XXXX ACCOUNTS THAT WERE PREVIOULY DELETED BY CHANGING ACCOUNT DATA. ALSO SPLIT MY CREDIT FILES 6 TIMES IN 3 YEARS. \nSCORES AND INFO DOEST LINE UP WITH XXXX. \n\nEQUIFAX IN VIOLATING THE DODDFRANK ACT AND F.C.R.A. FOR THE last time']
2430168,"XXXX XXXX REFUSES TO REMOVE DEBT COLLECTION FROM MY CREDIT REPORT, ALTHOUGH THE DEBT COLLECTION ACTION WAS DISMISSED BY THE SUPERIOR COURT OVER 2 YEARS AGO. 

THEY ALSO REFUSE TO PAY THE XXXX COURTS PER THE COURT DISMISSAL",222,"['XXXX XXXX REFUSES TO REMOVE DEBT COLLECTION FROM MY CREDIT REPORT, ALTHOUGH THE DEBT COLLECTION ACTION WAS DISMISSED BY THE SUPERIOR COURT OVER 2 YEARS AGO. \n\nTHEY ALSO REFUSE TO PAY THE XXXX COURTS PER THE COURT DISMISSAL']"
2273843,Money withdrawn from my savings account in the amount of XXXX  to pay for credit card bill with out my permission,113,['Money withdrawn from my savings account in the amount of XXXX  to pay for credit card bill with out my permission']
2420525,I have not ever received any communication from this collection company. It just was placed on my credit report. I have no idea who they are. I have never had any dealings with them at all. I do now owe this debt.,213,['I have not ever received any communication from this collection company. It just was placed on my credit report. I have no idea who they are. I have never had any dealings with them at all. I do now owe this debt.']
2431378,"I had 12 payments to XXXX credit cards totalling over 1800.00 returned from CHASE saying CUSTOMER advises not authorized. I went to Chase, was told to call Fraud at XXXX and ask fir US Supervisor. Was on hold for 20 minutes then disconnected, called back on hold for 35 minutes and still waiting.",296,"['I had 12 payments to XXXX credit cards totalling over 1800.00 returned from CHASE saying CUSTOMER advises not authorized. I went to Chase, was told to call Fraud at XXXX and ask fir US Supervisor. Was on hold for 20 minutes then disconnected, called back on hold for 35 minutes and still waiting.']"
2277235,My home loan was transferred to another lender which I have nt been notified yet,80,['My home loan was transferred to another lender which I have nt been notified yet']
2471838,My account has been paidoff in  XXXX  so how can it be reported late in  XXXX,77,['My account has been paidoff in  XXXX  so how can it be reported late in  XXXX']
2433016,"I traded in a vehicle, and the new finance company sent full pay off via tracked mail, however the original company is still collecting on the debt and calling me, without applying the payoff funds to the account.",213,"['I traded in a vehicle, and the new finance company sent full pay off via tracked mail, however the original company is still collecting on the debt and calling me, without applying the payoff funds to the account.']"
2426110,This account was charge off due to a divorce my ex wife voluntary returned the car. They told her the Charge was 8k now it showing XXXX on my credit report. I want this item removed immediately.,194,['This account was charge off due to a divorce my ex wife voluntary returned the car. They told her the Charge was 8k now it showing XXXX on my credit report. I want this item removed immediately.']
2472229,Na company left me a voicemail from phone number  XXXX  stating they were from the legal department at NA company and that they were going to have me arrested for check fraud. Then they called my parents and spoke to my father and shared information about why they were calling.,278,['Na company left me a voicemail from phone number  XXXX  stating they were from the legal department at NA company and that they were going to have me arrested for check fraud. Then they called my parents and spoke to my father and shared information about why they were calling.']
2284889,Debt collector onemain contacted my family members and XXXX information regarding debt such as type and exact details without consent.,134,['Debt collector onemain contacted my family members and XXXX information regarding debt such as type and exact details without consent.']
2426436,This account does not belong to me. Have made several attempts to have this removed. At the time of debt I was underage to have even entered into contract. I was told that I was XXXX and could give verbal consent for someone to open a account in my name,253,['This account does not belong to me. Have made several attempts to have this removed. At the time of debt I was underage to have even entered into contract. I was told that I was XXXX and could give verbal consent for someone to open a account in my name']
2368623,"I previously had a dispute with XXXX Bank in which I owed no monies and the account was to be closed. However, they have since placed the account with a collection agency.",171,"['I previously had a dispute with XXXX Bank in which I owed no monies and the account was to be closed. However, they have since placed the account with a collection agency.']"
2431453,one main keeps calling me at work even after I ask them not to me here as it interferes with my job,99,['one main keeps calling me at work even after I ask them not to me here as it interferes with my job']
2282857,"I believe that I was enrolled without consent or knowledge in Citi Identity Monitor. 

Customer Reference XXXX",110,['I believe that I was enrolled without consent or knowledge in Citi Identity Monitor. \n\nCustomer Reference XXXX']
2431121,This is not my account. I contact to Franklin collection and they have the wrong Ssn .I also contact the C B and asked them to verify my ssn with Franklin collection and they failed to do so.,191,['This is not my account. I contact to Franklin collection and they have the wrong Ssn .I also contact the C B and asked them to verify my ssn with Franklin collection and they failed to do so.']
2371370,They have threatened me with an arrest warrant sent to my email.,64,['They have threatened me with an arrest warrant sent to my email.']
2272867,Experian refuses to removed dated bankruptcy from 2008 off my credit report. The other XXXX credit bureaus have done so.,120,['Experian refuses to removed dated bankruptcy from 2008 off my credit report. The other XXXX credit bureaus have done so.']
2287194,WELLS FARGO DEALER SERVICES FAILED TO REMOVE XXXX HARD INQUIRIES FROM MY XXXX CREDIT REPORTS.,93,['WELLS FARGO DEALER SERVICES FAILED TO REMOVE XXXX HARD INQUIRIES FROM MY XXXX CREDIT REPORTS.']
2419744,"Sir, On XXXXXXXX I Have sent XXXX  to XXXX  XXXXXXXXXXXX  using Paypal for a personal service. But after receiving money they do nt contact me even their cell phone is switched off.",181,"['Sir, On XXXXXXXX I Have sent XXXX  to XXXX  XXXXXXXXXXXX  using Paypal for a personal service. But after receiving money they do nt contact me even their cell phone is switched off.']"
2285498,i have received a letter from this agency that states that I owe them. I have never had any dealing with this company. When I disputed the debt and ask for the information that supports their claim. I have no knowledge of the debt,230,['i have received a letter from this agency that states that I owe them. I have never had any dealing with this company. When I disputed the debt and ask for the information that supports their claim. I have no knowledge of the debt']
2272883,"I disputed this negative information XXXX2016 its has past the 30 days investigating therefore the XXXX Collections should be delete, my file number Confirmation XXXX  today date XXXX2016",187,"['I disputed this negative information XXXX2016 its has past the 30 days investigating therefore the XXXX Collections should be delete, my file number Confirmation XXXX  today date XXXX2016']"
2366955,"on XXXX2016 I sent a debt validation letter requesting alleged balance including calculation, proof that the account is correct, documents showing I agreed to pay this debt and agreement that grants authority to collect this debt. I have not received any response from them.",274,"['on XXXX2016 I sent a debt validation letter requesting alleged balance including calculation, proof that the account is correct, documents showing I agreed to pay this debt and agreement that grants authority to collect this debt. I have not received any response from them.']"
2377670,"Received a phone call from XXXX threatening phone call at my job that XXXX in legal was going to sue me. I have told these people not to contact me again, yet they continue to do so violating the law and I have documentation each time they do so.",246,"['Received a phone call from XXXX threatening phone call at my job that XXXX in legal was going to sue me. I have told these people not to contact me again, yet they continue to do so violating the law and I have documentation each time they do so.']"
2339075,I keep disputing and the debt collector removes then add it back to my credit report. My Identity has been stolen.,114,['I keep disputing and the debt collector removes then add it back to my credit report. My Identity has been stolen.']
2421405,Hi this debt on my XXXX report from valley empire collections is innacurately reporting negatively on my credit report. This debt has not been validated I have not received one notice nor any proof or disclosures of this debt. It is in the amount of XXXX and acct number showing is XXXX,286,['Hi this debt on my XXXX report from valley empire collections is innacurately reporting negatively on my credit report. This debt has not been validated I have not received one notice nor any proof or disclosures of this debt. It is in the amount of XXXX and acct number showing is XXXX']
2338222,"I am a victim of identity theft. I have send letter to Credit Bureaus for blocking Fraud information, but they did nt send me proper notice for that investigation",162,"['I am a victim of identity theft. I have send letter to Credit Bureaus for blocking Fraud information, but they did nt send me proper notice for that investigation']"
2422560,Amount was included in my bankructy,35,['Amount was included in my bankructy']
2430942,"I ve called many times to the credit reporting agency to inform them these inquiries were not mine, that they were fraudulently. The agency are telling me to just let the inquiries fall off, but they do nt belong to me, so I want them removed.",243,"['I ve called many times to the credit reporting agency to inform them these inquiries were not mine, that they were fraudulently. The agency are telling me to just let the inquiries fall off, but they do nt belong to me, so I want them removed.']"
2278184,us bank calls me multiple times a day for my husbands debt. says they wont talk to me but continue to call be 5 to 6 times EVERY DAY they will not stop even after my husband has explained to them when they will get paid  he lost his job 3 mo ago and just started a new one this week ,283,['us bank calls me multiple times a day for my husbands debt. says they wont talk to me but continue to call be 5 to 6 times EVERY DAY they will not stop even after my husband has explained to them when they will get paid  he lost his job 3 mo ago and just started a new one this week ']
2364264,"Account does not belong to me, I do not recognize this account at all, needs to be deleted",90,"['Account does not belong to me, I do not recognize this account at all, needs to be deleted']"
2418547,Date of first major deliquency was XXXX2010 although i have settled this account it has reached it s maturity of 7 years and i respectfully request it be removed from my credit.,177,['Date of first major deliquency was XXXX2010 although i have settled this account it has reached it s maturity of 7 years and i respectfully request it be removed from my credit.']
2277630,This account was opened XXXXXXXX. I have nt had them in well over 7 years. I keep disputing it Experian is indicating I can not reinvestigate. This account keeps getting reaged. Report shows opened in XXXXXXXX with history for only XXXXXXXX and XXXXXXXX as failed to pay.,271,['This account was opened XXXXXXXX. I have nt had them in well over 7 years. I keep disputing it Experian is indicating I can not reinvestigate. This account keeps getting reaged. Report shows opened in XXXXXXXX with history for only XXXXXXXX and XXXXXXXX as failed to pay.']
2425558,"Company was notified that debt was not mine, I requested debt validation and still no response. I never entered a contract with this company. In fact they have XXXX accounts linked with the same account number on my credit report. Its unauthorized",247,"['Company was notified that debt was not mine, I requested debt validation and still no response. I never entered a contract with this company. In fact they have XXXX accounts linked with the same account number on my credit report. Its unauthorized']"
2415600,Navient is refusing to come up with a payment or deferment plan that is suitable. I am working on a XXXX and they say that I have no more  in school deferment  time. The documentation that I signed states no such limitation.,224,['Navient is refusing to come up with a payment or deferment plan that is suitable. I am working on a XXXX and they say that I have no more  in school deferment  time. The documentation that I signed states no such limitation.']
2379083,THIS COMPANY IS LISTED ON MY CREDIT REPORTS. I HAVE ASKED FOR THIS DEBT TO BE VERIFIED FROM THE ORIGINAL CONTRACT BEARING MY SIGNATURE.PURSUANT TO THE FAIR DEBT COLLECTION PRACTICES I DEMAND VERIFICATION. THIS DEBT IS LISTED AS A COLLECTION ON MY CREDIT REPORT.,261,['THIS COMPANY IS LISTED ON MY CREDIT REPORTS. I HAVE ASKED FOR THIS DEBT TO BE VERIFIED FROM THE ORIGINAL CONTRACT BEARING MY SIGNATURE.PURSUANT TO THE FAIR DEBT COLLECTION PRACTICES I DEMAND VERIFICATION. THIS DEBT IS LISTED AS A COLLECTION ON MY CREDIT REPORT.']
2426039,"i send money to my brother tru moneygram and have benn a week and he tell me the agency in XXXX dosent have a transaction wiht the nomber i give to him and moneygram tell me they cant give me my money back until he contat they and he already do it, these sound to me like a fruad",279,"['i send money to my brother tru moneygram and have benn a week and he tell me the agency in XXXX dosent have a transaction wiht the nomber i give to him and moneygram tell me they cant give me my money back until he contat they and he already do it, these sound to me like a fruad']"
2412885,Collecting dept that I do not have knowledge of never receive a letter or phone call for this company I just now saw them on My credit report do nt have any knowledge with this,176,['Collecting dept that I do not have knowledge of never receive a letter or phone call for this company I just now saw them on My credit report do nt have any knowledge with this']
2328570,The prospective loan company financing a new car should HAVE TO REQUEST the report from the origination of THE loan application and XXXX should NOT allow several Inquiries on the same LOAN TRANSACTION. You should know better. QUIT DINGING MY CREDIT. XXXX,254,['The prospective loan company financing a new car should HAVE TO REQUEST the report from the origination of THE loan application and XXXX should NOT allow several Inquiries on the same LOAN TRANSACTION. You should know better. QUIT DINGING MY CREDIT. XXXX']
2287451,Please see case number XXXX,27,['Please see case number XXXX']
2335898,I was called by a number saying that they are trying to collect on debt that I have. Which I have none. XXXX is the number,122,['I was called by a number saying that they are trying to collect on debt that I have. Which I have none. XXXX is the number']
2415030,I am not sure what the debt is but it just keeps popping up on my report,72,['I am not sure what the debt is but it just keeps popping up on my report']
2276997,"I got an alert for a new employer listed and I am currently self employed. I need more information and Credit Karma has nt provided anything other than XXXX XXXX, 2017 XXXX XXXX as the new employer which is not me or my employer",228,"['I got an alert for a new employer listed and I am currently self employed. I need more information and Credit Karma has nt provided anything other than XXXX XXXX, 2017 XXXX XXXX as the new employer which is not me or my employer']"
2372186,"Experian is still listing an account that is past the 7 year reporting period. 
XXXXXXXX. Account number XXXX. This account has been deleted from XXXX and XXXX. Experian is the ONLY credit bureau that is still listing this account.",231,['Experian is still listing an account that is past the 7 year reporting period. \nXXXXXXXX. Account number XXXX. This account has been deleted from XXXX and XXXX. Experian is the ONLY credit bureau that is still listing this account.']
2380430,"There is wrong information in my report. 
XXXX Account  XXXX  gt  I have paid down",82,['There is wrong information in my report. \nXXXX Account  XXXX  gt  I have paid down']
2371672,I have encountered many incidents of financial identity theft dating back since XXXX2015. I was made aware of this payday advance loan when I received a letter dated XXXX2015 stating an unpaid collection had been reported. I did not apply for this loan.,253,['I have encountered many incidents of financial identity theft dating back since XXXX2015. I was made aware of this payday advance loan when I received a letter dated XXXX2015 stating an unpaid collection had been reported. I did not apply for this loan.']
2368902,The reason I am complaining against sage stream is because I have on several occasions requested for my file to be frozen and they have not frozen my file or responded to my request. I need my file frozen.,205,['The reason I am complaining against sage stream is because I have on several occasions requested for my file to be frozen and they have not frozen my file or responded to my request. I need my file frozen.']
2373192,"Based on the Foresnic Analysis, I discovered truth in lending and preditory violations in my loan. Therefore the third party debt collector  PennyMac  needs to be investigated.",176,"['Based on the Foresnic Analysis, I discovered truth in lending and preditory violations in my loan. Therefore the third party debt collector  PennyMac  needs to be investigated.']"
2380304,False Collection Debt,21,['False Collection Debt']
2376865,"Seterus Inc. did not apply my clearly stated  Principal only payment  correctly, resulting in me paying several hundred dollars extra in interest. After several attempts to correct this issue, they told me there was nothing that they could do about it, even though they admitted it was their fault.",298,"['Seterus Inc. did not apply my clearly stated  Principal only payment  correctly, resulting in me paying several hundred dollars extra in interest. After several attempts to correct this issue, they told me there was nothing that they could do about it, even though they admitted it was their fault.']"
2415607,"Attempting to collect on a debt that is not only past the statue of limitations, but its also a debt that I do nt owe. They are continuously calling and harassing me.",166,"['Attempting to collect on a debt that is not only past the statue of limitations, but its also a debt that I do nt owe. They are continuously calling and harassing me.']"
2279411,"I was charged a Monthly Maintenance Fee of 12.00 for a statement cycle. They required me to maintain a minimum of 1500.00 a day in the statement cycle for the month. When I contacted them, I was told that I was charged for a cycle from previous statement, and were reluctant to give me a refund",294,"['I was charged a Monthly Maintenance Fee of 12.00 for a statement cycle. They required me to maintain a minimum of 1500.00 a day in the statement cycle for the month. When I contacted them, I was told that I was charged for a cycle from previous statement, and were reluctant to give me a refund']"
2328786,"Did nt verify collection, no contract, no signuture",51,"['Did nt verify collection, no contract, no signuture']"
2415065,The debt had been fully paid to Central credit services,55,['The debt had been fully paid to Central credit services']
2277321,On my credit reports  XXXX and Transunion  it is saying my XXXX XXXX loan is delinquent and has nt been paid in 120 days. I was late with payment back in 2011 but the loan is all paid off and has been for years.,211,['On my credit reports  XXXX and Transunion  it is saying my XXXX XXXX loan is delinquent and has nt been paid in 120 days. I was late with payment back in 2011 but the loan is all paid off and has been for years.']
2273380,"Midland Funding LLC hired XXXX, XXXX, XXXX XXXX XXXX to serve me with a Civil Warrant on a credit card debt that is over 8 years old. Now we have a court date set for XXXX2017.",176,"['Midland Funding LLC hired XXXX, XXXX, XXXX XXXX XXXX to serve me with a Civil Warrant on a credit card debt that is over 8 years old. Now we have a court date set for XXXX2017.']"
2321853,"I have been paying on my loan of 4500.00 with Avant monthly and on time every month, then I noticed that in almost XXXX years at 150.00 per month the debt has only decreased by 610.00.",184,"['I have been paying on my loan of 4500.00 with Avant monthly and on time every month, then I noticed that in almost XXXX years at 150.00 per month the debt has only decreased by 610.00.']"
2372515,"We have been paying on a 6000.00 loan since XXXXXXXX and still have a 4200.00 balance. Payments have only been 64.00, but it appears this loan is being serviced like a credit card with the interest payment never getting any lower. Is this correct Thanks.",254,"['We have been paying on a 6000.00 loan since XXXXXXXX and still have a 4200.00 balance. Payments have only been 64.00, but it appears this loan is being serviced like a credit card with the interest payment never getting any lower. Is this correct Thanks.']"
2338991,XXXX XXXX XXXX XXXX OF XXXX XXXX accounts not related to me disputes was sent 3 times but problem is not resolved,113,['XXXX XXXX XXXX XXXX OF XXXX XXXX accounts not related to me disputes was sent 3 times but problem is not resolved']
2275264,"This is a addendum to complaint XXXX. I have sent XXXX everything they ve requested yet they continue to disseminate false information to my Credit Report. 

Please be advised if you do not remove this Tradeline from my Credit Report I will sue your company for violations under FCRAFDCPA.",289,['This is a addendum to complaint XXXX. I have sent XXXX everything they ve requested yet they continue to disseminate false information to my Credit Report. \n\nPlease be advised if you do not remove this Tradeline from my Credit Report I will sue your company for violations under FCRAFDCPA.']
2277403,I have disputed several times that Equifax has business inquires listed on my personal credit file. I use my XXXX number for all business inquires why are they on my personal credit file. There is also XXXX small medical bills that should nt even be listed. I need help,269,['I have disputed several times that Equifax has business inquires listed on my personal credit file. I use my XXXX number for all business inquires why are they on my personal credit file. There is also XXXX small medical bills that should nt even be listed. I need help']
2547889,"Checked   XXXX   XXXX   and there is a hard inquiry from  XXXX   Retail, Not Elsewhere Classified  on  XXXX   XXXX ,   XXXX  . I never authorized a credit check for anybody in the past 2 years. it is showing up on my   XXXX   report",232,"['Checked   XXXX   XXXX   and there is a hard inquiry from  XXXX   Retail, Not Elsewhere Classified  on  XXXX   XXXX ,   XXXX  . I never authorized a credit check for anybody in the past 2 years. it is showing up on my   XXXX   report']"
2378812,i filed chapt XXXX XXXX2010 ... .EQUIFAX will not remove item from credit report ... .been 7 years ...,102,['i filed chapt XXXX XXXX2010 ... .EQUIFAX will not remove item from credit report ... .been 7 years ...']
2376925,"i m force to pay money I do nt owe, I have money taken out of my check. I care for husband with XXXX this service has refused my notices, letters ect.",150,"['i m force to pay money I do nt owe, I have money taken out of my check. I care for husband with XXXX this service has refused my notices, letters ect.']"
2329639,Debt older than 7 years Proof of original collection data Please remove collection from all credit reporting agencies,117,['Debt older than 7 years Proof of original collection data Please remove collection from all credit reporting agencies']
2330397,I have applied for forbearance due to debt and a divorce in which was enabling me from paying loan amount on time. I have sent over several applications and no response just emails indicating i need to pay. Also loan amount seems larger then what i recall. Need this to be confirmed.,283,['I have applied for forbearance due to debt and a divorce in which was enabling me from paying loan amount on time. I have sent over several applications and no response just emails indicating i need to pay. Also loan amount seems larger then what i recall. Need this to be confirmed.']
2430757,"I was shocked when I reviewed my credit report and found late payment on the dates below  30 days past due XXXX2015 I am not sure how this happened, I believe that I had made my payments to you when I received my statements. My only thought is that my monthly statement did not get to me.",288,"['I was shocked when I reviewed my credit report and found late payment on the dates below  30 days past due XXXX2015 I am not sure how this happened, I believe that I had made my payments to you when I received my statements. My only thought is that my monthly statement did not get to me.']"
2430553,Nursing home where my mother was staying is trying to collect a debt that she owes from me. I am her daughter but did not sign her into the home nor do i have Power of Attorney.,177,['Nursing home where my mother was staying is trying to collect a debt that she owes from me. I am her daughter but did not sign her into the home nor do i have Power of Attorney.']
2368059,the amount does not go down and infact the amount keeps going up at an intrest rate over XXXX percent,101,['the amount does not go down and infact the amount keeps going up at an intrest rate over XXXX percent']
2336322,I am receiving threatening phone calls stating I owe money but will not tell me what this is for. XXXX. I am recently widow and I am scared.,140,['I am receiving threatening phone calls stating I owe money but will not tell me what this is for. XXXX. I am recently widow and I am scared.']
2374977,Transunion has deleted my inquiries couple months ago and they put those inquiries back. I called them but they did not want to remove it.,138,['Transunion has deleted my inquiries couple months ago and they put those inquiries back. I called them but they did not want to remove it.']
2271386,"I just became aware of it. 

The security questions are asking if I applied for a car loan in 2013 and I never did. 

At this time I can not publish any suporting documents. I have also had the Social Security Office ask the security question of whether I have obtained an auot loan in 2013",290,['I just became aware of it. \n\nThe security questions are asking if I applied for a car loan in 2013 and I never did. \n\nAt this time I can not publish any suporting documents. I have also had the Social Security Office ask the security question of whether I have obtained an auot loan in 2013']
2281207,My mother died XXXXXXXX and I am a XXXX  beneficiary of her IRA. I wish to transfer this account from Wilmington Trust to XXXX XXXX. I initiated this transfer XXXXXXXX and six weeks later the assets have still not been released by Wilmington Trust.,248,['My mother died XXXXXXXX and I am a XXXX  beneficiary of her IRA. I wish to transfer this account from Wilmington Trust to XXXX XXXX. I initiated this transfer XXXXXXXX and six weeks later the assets have still not been released by Wilmington Trust.']
2472073,XXXX   Transunion   XXXX  continues to report inaccurate negative items on my report that I have previously dispu ted 6 ti me.They continuos to report account with no account number. Inaccurate information that is hurting my credit.,232,['XXXX   Transunion   XXXX  continues to report inaccurate negative items on my report that I have previously dispu ted 6 ti me.They continuos to report account with no account number. Inaccurate information that is hurting my credit.']
2340454,Cancelled debt but failed to reconvey the lien.,47,['Cancelled debt but failed to reconvey the lien.']
2329261,This is a gym that i have not belonged to in 2 years and they are charging me after I cancelled my account. I have spoken to the gyms manager who confirms I do not owe the money but the owner will not call the credit collectors even after multiple calls to gym.,261,['This is a gym that i have not belonged to in 2 years and they are charging me after I cancelled my account. I have spoken to the gyms manager who confirms I do not owe the money but the owner will not call the credit collectors even after multiple calls to gym.']
2416784,"I receive calls constantly from this company with a recorded message claiming that complaints against me have been filed in their office. This is evidently an attempt to collect on a zombie debt because all of my current credit is up to date. 

Miller Stark Klein  Associates XXXX XXXX NC XXXX XXXX",298,['I receive calls constantly from this company with a recorded message claiming that complaints against me have been filed in their office. This is evidently an attempt to collect on a zombie debt because all of my current credit is up to date. \n\nMiller Stark Klein  Associates XXXX XXXX NC XXXX XXXX']
2366953,I was the victim of identity theft and provided the required documentation and it was added.,92,['I was the victim of identity theft and provided the required documentation and it was added.']
2366256,"Starting in 2013, someone used my name and my address to create checks, and a fraudulent checking account. I filed a complaint with the FTC  ref. XXXX  and a police report  RN. XXXX . I recently found these checks on my credit report which does not belong to me",261,"['Starting in 2013, someone used my name and my address to create checks, and a fraudulent checking account. I filed a complaint with the FTC  ref. XXXX  and a police report  RN. XXXX . I recently found these checks on my credit report which does not belong to me']"
2429976,I booked a flight through american express. i could not cancel it within 24 hours because no one picked up the 247 services lines.,130,['I booked a flight through american express. i could not cancel it within 24 hours because no one picked up the 247 services lines.']
2285058,Trans Union is ignoring my requests to investigate and remove accounts from my credit file that do not belong to me.,116,['Trans Union is ignoring my requests to investigate and remove accounts from my credit file that do not belong to me.']
2472672,"DEBIT CARD WAS OVERCHARGED WITH UNAUTHORIZED CHARGES NOT MADE BY ME.BANK OF AMERICA WAS NOTIFIED   XXXX   AND TODAY  XXXX  XXXX   XXXX   CREDIT WAS REVERSED AND ACCOUNT ENDING IN  XXXX  WAS CHARGED  XXXX , WHICH I DISPUTED",222,"['DEBIT CARD WAS OVERCHARGED WITH UNAUTHORIZED CHARGES NOT MADE BY ME.BANK OF AMERICA WAS NOTIFIED   XXXX   AND TODAY  XXXX  XXXX   XXXX   CREDIT WAS REVERSED AND ACCOUNT ENDING IN  XXXX  WAS CHARGED  XXXX , WHICH I DISPUTED']"
2472343,I am not sure what debt is from. I called company listed on credit report that state they did not report.,105,['I am not sure what debt is from. I called company listed on credit report that state they did not report.']
2472693,I requested to have late payments removed numerous times and McCue Mortgage has refused to do so. It is preventing me from obtaining another mortgage.,150,['I requested to have late payments removed numerous times and McCue Mortgage has refused to do so. It is preventing me from obtaining another mortgage.']
2370828,"I was shocked when I reviewed my credit report and found late payment on the dates below  30 days past due as of XXXX2015 I am not sure how this happened, I believe that I had made my payments to you when I received my statements. My only thought is that my monthly statement did not get to me.",294,"['I was shocked when I reviewed my credit report and found late payment on the dates below  30 days past due as of XXXX2015 I am not sure how this happened, I believe that I had made my payments to you when I received my statements. My only thought is that my monthly statement did not get to me.']"
2472634,Accounts has not been verified,30,['Accounts has not been verified']
2472642,Reports of said account is still being reported without being verified,70,['Reports of said account is still being reported without being verified']
2271528,"I have two account on report that should be deleted. Both have been on credit report for more than 7 years. 

1. XXXX XXXX, XXXXXXXX 2. XXXX XXXX, XXXXXXXX",155,"['I have two account on report that should be deleted. Both have been on credit report for more than 7 years. \n\n1. XXXX XXXX, XXXXXXXX 2. XXXX XXXX, XXXXXXXX']"
2279987,"Ocwen financing llc is reporting a foreclosure on my credit report twice. This is just XXXX foreclosure, having it reporting twice is causing me not to be able to get another loan.",180,"['Ocwen financing llc is reporting a foreclosure on my credit report twice. This is just XXXX foreclosure, having it reporting twice is causing me not to be able to get another loan.']"
2281835,I have a loan on my credit report for XXXX which I never applied for. I have contacted the company  credit bureau several times to dispute this debt. I have never received any documentation in the mail with my signatures to validate this debt.,243,['I have a loan on my credit report for XXXX which I never applied for. I have contacted the company  credit bureau several times to dispute this debt. I have never received any documentation in the mail with my signatures to validate this debt.']
2472853,Per  XXXX  this account in on my credit report. It is connecting to a name that does not belong to me.,102,['Per  XXXX  this account in on my credit report. It is connecting to a name that does not belong to me.']
2368062,"I disputed an account which had reached the retention time and it was deleted. However, after a while I suddenly saw they placed it back and not only that they even changed the delinquency date to very current.",210,"['I disputed an account which had reached the retention time and it was deleted. However, after a while I suddenly saw they placed it back and not only that they even changed the delinquency date to very current.']"
2415171,I keep getting phone calls from XXXX and when I ask who is they will not tell me so I hang up. I am being harassed and do nt know why. When I look the number up on XXXX it says  Portfolio Recovery. ,198,['I keep getting phone calls from XXXX and when I ask who is they will not tell me so I hang up. I am being harassed and do nt know why. When I look the number up on XXXX it says  Portfolio Recovery. ']
2272745,my account with XXXX has been settled. originally equifax had the information correct on my report but then changed it to open with a balance of 400.00. it should be closed with a zero balance,192,['my account with XXXX has been settled. originally equifax had the information correct on my report but then changed it to open with a balance of 400.00. it should be closed with a zero balance']
2371796,"The original creditor sold this debt to a collection agency, they also wrote off this debt on their taxes which wrote off my obligation to pay but I paid anyway. This contract was cancelled which means NO CONTRACT.",214,"['The original creditor sold this debt to a collection agency, they also wrote off this debt on their taxes which wrote off my obligation to pay but I paid anyway. This contract was cancelled which means NO CONTRACT.']"
